Algorithm,Accuracy,F1-Score
Log Regression,0.6055846422338569,0.6182432432432433
Naive Bayes,0.6893542757417103,0.696245733788396
KNN,0.8621291448516579,0.8786482334869432
SVM,0.9197207678883071,0.9248366013071896
Decision Trees,0.8952879581151832,0.896551724137931
